rollout/ep_len_mean,rollout/ep_rew_mean,curriculum/stage_index,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,curriculum/randomize_probability,rollout/success_rate,train/ent_coef,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/success_rate,eval/mean_ep_length,eval/mean_reward
13.28,129.31347468,0.0,26,154,4081,492,0.0,0.53,0.009999999776482582,6160,52.686485290527344,0.0003,-249.7254638671875,,,
13.96,120.53508003000003,0.0,26,157,4161,496,0.0,0.49,0.009999999776482582,6320,56.7639102935791,0.0003,-249.45254516601562,,,
14.51,111.94043821000002,0.0,26,161,4241,500,0.0,0.45,0.009999999776482582,6480,77.46420288085938,0.0003,-247.9454116821289,,,
15.15,102.87928583000001,0.0,26,164,4321,504,0.0,0.41,0.009999999776482582,6640,80.51567840576172,0.0003,-254.44247436523438,,,
15.79,94.22671558000002,0.0,26,167,4401,508,0.0,0.37,0.009999999776482582,6800,86.89916229248047,0.0003,-255.94386291503906,,,
16.41,86.47860694,0.0,26,170,4481,512,0.0,0.33,0.009999999776482582,6960,90.71234893798828,0.0003,-259.4066162109375,,,
16.69,78.37391634000001,0.0,26,174,4561,516,0.0,0.29,0.009999999776482582,7120,78.18798446655273,0.0003,-258.1826477050781,,,
16.71,75.67326196,0.0,26,177,4641,520,0.0,0.28,0.009999999776482582,7280,88.81952285766602,0.0003,-262.03875732421875,,,
16.78,71.02697445,0.0,26,180,4721,524,0.0,0.26,0.009999999776482582,7440,91.51836776733398,0.0003,-260.3809814453125,,,
17.29,62.70507514,0.0,26,183,4801,528,0.0,0.22,0.009999999776482582,7600,95.98829650878906,0.0003,-264.0821990966797,,,
17.87,54.713488129999995,0.0,26,186,4881,532,0.0,0.18,0.009999999776482582,7760,98.63215255737305,0.0003,-265.69891357421875,,,
18.3,49.07437807,0.0,26,189,4961,536,0.0,0.15,0.009999999776482582,7920,102.05256271362305,0.0003,-265.1091003417969,,,
18.81,41.420137860000004,0.0,26,193,5041,540,0.0,0.11,0.009999999776482582,8080,66.07569122314453,0.0003,-267.204345703125,,,
19.27,33.65352516,0.0,26,196,5121,544,0.0,0.07,0.009999999776482582,8240,115.00038528442383,0.0003,-269.21055603027344,,,
19.7,25.708447170000003,0.0,26,199,5201,548,0.0,0.03,0.009999999776482582,8400,87.94681930541992,0.0003,-271.0190124511719,,,
20.0,19.51194436,0.0,25,203,5281,552,0.0,0.0,0.009999999776482582,8560,120.18505096435547,0.0003,-270.63067626953125,,,
20.0,19.47414903,0.0,25,206,5361,556,0.0,0.0,0.009999999776482582,8720,106.45193481445312,0.0003,-271.3059539794922,,,
20.0,19.94170469,0.0,25,210,5441,560,0.0,0.0,0.009999999776482582,8880,93.86759185791016,0.0003,-271.6739807128906,,,
20.0,20.435870330000004,0.0,25,213,5521,564,0.0,0.0,0.009999999776482582,9040,104.50728225708008,0.0003,-273.3483428955078,,,
20.0,20.4471086,0.0,25,216,5601,568,0.0,0.0,0.009999999776482582,9200,70.79281044006348,0.0003,-275.36985778808594,,,
20.0,20.42128579,0.0,25,219,5681,572,0.0,0.0,0.009999999776482582,9360,97.85125732421875,0.0003,-277.99571228027344,,,
20.0,20.65994956,0.0,25,222,5761,576,0.0,0.0,0.009999999776482582,9520,103.22637939453125,0.0003,-280.08221435546875,,,
20.0,20.80303548,0.0,25,226,5841,580,0.0,0.0,0.009999999776482582,9680,124.4888916015625,0.0003,-279.9591979980469,,,
20.0,21.010008289999995,0.0,25,229,5921,584,0.0,0.0,0.009999999776482582,9840,86.91439819335938,0.0003,-281.25059509277344,,,
20.0,21.404256930000003,0.0,25,237,6001,588,0.0,0.0,0.009999999776482582,10000,108.18049621582031,0.0003,-283.0939178466797,0.0,20.0,-3.3468749182369435
20.0,21.231800599999996,0.0,25,240,6081,592,0.0,0.0,0.009999999776482582,10160,85.3483657836914,0.0003,-283.86631774902344,,,
20.0,21.379452190000002,0.0,25,243,6161,596,0.0,0.0,0.009999999776482582,10320,98.95069122314453,0.0003,-284.9506072998047,,,
20.0,21.30625814,0.0,25,246,6241,600,0.0,0.0,0.009999999776482582,10480,73.24413299560547,0.0003,-285.48406982421875,,,
20.0,21.521255839999995,0.0,25,249,6321,604,0.0,0.0,0.009999999776482582,10640,107.47077941894531,0.0003,-288.02711486816406,,,
20.0,21.195610570000003,0.0,25,252,6401,608,0.0,0.0,0.009999999776482582,10800,131.04217529296875,0.0003,-285.76580810546875,,,
20.0,20.257853559999997,0.0,25,255,6481,612,0.0,0.0,0.009999999776482582,10960,144.44813537597656,0.0003,-287.5548553466797,,,
20.0,20.31484766,0.0,25,258,6561,616,0.0,0.0,0.009999999776482582,11120,77.08638000488281,0.0003,-286.66705322265625,,,
20.0,20.03585275,0.0,25,262,6641,620,0.0,0.0,0.009999999776482582,11280,76.32654571533203,0.0003,-288.71348571777344,,,
20.0,20.245234850000003,0.0,25,265,6721,624,0.0,0.0,0.009999999776482582,11440,92.72236442565918,0.0003,-292.1547546386719,,,
20.0,20.537318759999998,0.0,25,268,6801,628,0.0,0.0,0.009999999776482582,11600,112.70201873779297,0.0003,-291.80474853515625,,,
20.0,20.91688674,0.0,25,271,6881,632,0.0,0.0,0.009999999776482582,11760,98.65970039367676,0.0003,-292.07066345214844,,,
20.0,20.494276449999997,0.0,25,275,6961,636,0.0,0.0,0.009999999776482582,11920,115.9200439453125,0.0003,-295.0317687988281,,,
20.0,20.053048990000004,0.0,25,278,7041,640,0.0,0.0,0.009999999776482582,12080,107.79558563232422,0.0003,-294.9324951171875,,,
20.0,20.08154459,0.0,25,281,7121,644,0.0,0.0,0.009999999776482582,12240,82.0206413269043,0.0003,-294.9547882080078,,,
20.0,19.682247359999998,0.0,25,284,7201,648,0.0,0.0,0.009999999776482582,12400,120.57243728637695,0.0003,-296.11456298828125,,,
