time/fps,time/total_timesteps,time/episodes,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
44,13280,332,296,0.0,-25.104373499999998,40.0,0.025289559736847878,-23.898658752441406,0.0003,12279,0.016595955938100815,3.000730514526367,,,
44,13440,336,300,0.0,-25.11236443,40.0,0.024114374071359634,-24.37607192993164,0.0003,12439,0.015187125653028488,3.165926933288574,,,
44,13600,340,305,0.0,-25.183118230000005,40.0,0.02299400046467781,-24.610139846801758,0.0003,12599,0.0169615987688303,3.5920090675354004,,,
44,13760,344,310,0.0,-25.249258940000004,40.0,0.021927928552031517,-24.79587173461914,0.0003,12759,0.018298646435141563,3.866835594177246,,,
44,13920,348,315,0.0,-25.16326516,40.0,0.02090972103178501,-25.10250473022461,0.0003,12919,0.015281428582966328,4.620306015014648,,,
44,14080,352,319,0.0,-25.16351184,40.0,0.01994001306593418,-25.415775299072266,0.0003,13079,0.019400734454393387,4.939144611358643,,,
43,14240,356,324,0.0,-25.191119280000002,40.0,0.019016176462173462,-25.226659774780273,0.0003,13239,0.015753123909235,5.652040481567383,,,
43,14400,360,328,0.0,-25.228017849999997,40.0,0.01813497394323349,-25.880970001220703,0.0003,13399,0.017232445999979973,5.820049285888672,,,
43,14560,364,332,0.0,-25.124920839999994,40.0,0.01729419268667698,-26.48331069946289,0.0003,13559,0.01835467480123043,6.8905463218688965,,,
43,14720,368,337,0.0,-25.189925070000008,40.0,0.016493510454893112,-26.597034454345703,0.0003,13719,0.01689564622938633,6.94917106628418,,,
43,14880,372,341,0.0,-25.360301090000004,40.0,0.01572897471487522,-26.865938186645508,0.0003,13879,0.01535673439502716,7.157871723175049,,,
,15000,,,,,,0.015179152600467205,-26.646835327148438,0.0003,13999,0.01648554392158985,7.830243110656738,-23.4389586,40.0,0.0
42,15040,376,351,0.0,-25.24490393,40.0,0.014999784529209137,-26.62761688232422,0.0003,14039,0.018361695110797882,8.055558204650879,,,
42,15200,380,356,0.0,-25.03711354,40.0,0.014304338954389095,-27.053754806518555,0.0003,14199,0.017211800441145897,7.953954219818115,,,
42,15360,384,360,0.0,-25.03897755000001,40.0,0.013641610741615295,-27.230846405029297,0.0003,14359,0.01791331171989441,8.622498512268066,,,
42,15520,388,365,0.0,-24.979530450000002,40.0,0.013009333051741123,-27.9449462890625,0.0003,14519,0.01784498058259487,9.061767578125,,,
42,15680,392,370,0.0,-25.048266449999996,40.0,0.012407828122377396,-27.565237045288086,0.0003,14679,0.014778951182961464,9.254053115844727,,,
42,15840,396,375,0.0,-24.948441539999994,40.0,0.011834445409476757,-27.706336975097656,0.0003,14839,0.015469472855329514,9.865923881530762,,,
42,16000,400,380,0.0,-25.055116199999997,40.0,0.011289055459201336,-28.145755767822266,0.0003,14999,0.018598631024360657,9.998207092285156,,,
42,16160,404,383,0.0,-25.08378137,40.0,0.010767901316285133,-27.863054275512695,0.0003,15159,0.01737735979259014,10.546162605285645,,,
42,16320,408,387,0.0,-25.034447580000002,40.0,0.010274113155901432,-28.610877990722656,0.0003,15319,0.014174050651490688,11.017022132873535,,,
41,16480,412,392,0.0,-25.100714160000003,40.0,0.009802383370697498,-28.108423233032227,0.0003,15479,0.01647031120955944,11.25452995300293,,,
41,16640,416,397,0.0,-24.88532654,40.0,0.009357331320643425,-29.143348693847656,0.0003,15639,0.013362398371100426,12.161513328552246,,,
41,16800,420,402,0.0,-24.947666249999997,40.0,0.008931984193623066,-29.22303009033203,0.0003,15799,0.022159013897180557,12.260579109191895,,,
41,16960,424,406,0.0,-25.049395660000005,40.0,0.008525165729224682,-28.892454147338867,0.0003,15959,0.019417187198996544,13.183984756469727,,,
41,17120,428,411,0.0,-24.80038595,40.0,0.008136492222547531,-29.496112823486328,0.0003,16119,0.01351785659790039,13.36668872833252,,,
41,17280,432,416,0.0,-24.705752239999995,40.0,0.007765901740640402,-29.576581954956055,0.0003,16279,0.018871299922466278,13.24470329284668,,,
41,17440,436,421,0.0,-24.733437770000005,40.0,0.007414930500090122,-29.999908447265625,0.0003,16439,0.01773054525256157,13.318044662475586,,,
,17500,,,,,,0.007287646643817425,-28.43886947631836,0.0003,16499,0.017193375155329704,14.32671070098877,-24.9355262,40.0,0.0
