rollout/success_rate,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.02,820,19.72,28,15131,522,70.75676025,0.009999999776482582,28260,48.93922996520996,-368.1139678955078,0.0003,,,
0.02,824,19.72,28,15211,525,68.79407965,0.009999999776482582,28420,51.01764488220215,-369.8848114013672,0.0003,,,
0.02,828,19.72,28,15291,527,67.83459156,0.009999999776482582,28580,12.859218120574951,-369.5887756347656,0.0003,,,
0.02,832,19.72,28,15371,530,67.82714619000001,0.009999999776482582,28740,30.612359046936035,-376.12025451660156,0.0003,,,
0.02,836,19.72,28,15451,532,68.56847924,0.009999999776482582,28900,67.91360473632812,-374.48377990722656,0.0003,,,
0.02,840,19.72,29,15531,535,70.17166799,0.009999999776482582,29060,14.476709365844727,-372.35992431640625,0.0003,,,
0.02,844,19.72,29,15611,538,70.1028164,0.009999999776482582,29220,21.30501651763916,-375.05299377441406,0.0003,,,
0.02,848,19.72,29,15691,540,69.3792075,0.009999999776482582,29380,50.54372978210449,-378.6099853515625,0.0003,,,
0.0,852,20.0,29,15771,543,65.60977328,0.009999999776482582,29540,65.47076368331909,-376.67295837402344,0.0003,,,
0.0,856,20.0,29,15851,546,64.37105883,0.009999999776482582,29700,59.7857027053833,-377.6302947998047,0.0003,,,
0.0,860,20.0,29,15931,548,63.13317562,0.009999999776482582,29860,34.48602533340454,-376.83213806152344,0.0003,,,
0.0,864,20.0,28,16011,557,62.074714840000006,0.009999999776482582,30020,38.703182220458984,-378.5936584472656,0.0003,49.01123806672119,0.0,20.0
0.0,868,20.0,28,16091,559,61.54420722,0.009999999776482582,30180,64.54180717468262,-379.5500946044922,0.0003,,,
0.0,872,20.0,28,16171,562,59.832772930000004,0.009999999776482582,30340,34.167673110961914,-377.991455078125,0.0003,,,
0.0,876,20.0,28,16251,564,60.77265183,0.009999999776482582,30500,18.73878812789917,-384.2337646484375,0.0003,,,
0.0,880,20.0,28,16331,567,60.08340984999999,0.009999999776482582,30660,15.62559700012207,-378.71380615234375,0.0003,,,
0.0,884,20.0,28,16411,569,60.593581549999996,0.009999999776482582,30820,18.102564811706543,-380.687255859375,0.0003,,,
