rollout/success_rate,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.0,-2.68601556,2328,41,55,7.52,388,2.253343343734741,10.748114585876465,0.009999999776482582,0.0003,1327,,,
0.0,-1.83148951,2345,42,55,7.29,392,2.263730049133301,9.766483306884766,0.009999999776482582,0.0003,1344,,,
0.0,-2.0990704,2374,42,55,7.41,396,3.0757410526275635,8.163318634033203,0.009999999776482582,0.0003,1373,,,
0.0,-2.01720674,2403,43,55,7.41,400,2.018773317337036,12.46525764465332,0.009999999776482582,0.0003,1402,,,
0.0,-2.89993842,2455,44,55,7.77,404,2.3138246536254883,11.038751602172852,0.009999999776482582,0.0003,1454,,,
0.0,-3.0973331099999997,2484,44,55,7.9,408,2.314409017562866,9.810737609863281,0.009999999776482582,0.0003,1483,,,
0.0,-2.32358181,2512,45,55,7.77,412,2.5706310272216797,8.984992027282715,0.009999999776482582,0.0003,1511,,,
0.0,-2.5532719900000003,2541,45,55,7.9,416,2.840768337249756,12.403636932373047,0.009999999776482582,0.0003,1540,,,
0.0,-2.5476515699999998,2569,46,55,7.88,420,2.215625524520874,9.031058311462402,0.009999999776482582,0.0003,1568,,,
0.0,-2.09812866,2597,47,55,7.76,424,2.2694218158721924,9.65684700012207,0.009999999776482582,0.0003,1596,,,
0.0,-1.89320998,2614,47,55,7.53,428,3.2137722969055176,7.545131683349609,0.009999999776482582,0.0003,1613,,,
0.0,-2.2388178400000003,2661,48,55,7.6,432,2.3703465461730957,10.921016693115234,0.009999999776482582,0.0003,1660,,,
0.0,-2.38745965,2689,48,55,7.6,436,2.820239543914795,10.205743789672852,0.009999999776482582,0.0003,1688,,,
0.0,-2.3654635199999996,2729,49,55,7.72,440,3.1424293518066406,7.777181148529053,0.009999999776482582,0.0003,1728,,,
0.0,-2.1970597599999997,2757,49,55,7.72,444,2.971064805984497,11.704517364501953,0.009999999776482582,0.0003,1756,,,
0.0,-2.01466135,2776,50,55,7.61,448,3.2170841693878174,8.867533683776855,0.009999999776482582,0.0003,1775,,,
0.0,-2.0500707100000004,2816,50,55,7.73,452,3.812962055206299,11.528817176818848,0.009999999776482582,0.0003,1815,,,
0.0,-2.0484241400000003,2844,51,55,7.61,456,3.848165512084961,9.609060287475586,0.009999999776482582,0.0003,1843,,,
0.0,-1.6853422300000003,2860,51,55,7.37,460,2.947662353515625,9.332436561584473,0.009999999776482582,0.0003,1859,,,
0.0,-1.4515950300000002,2876,52,55,7.24,464,2.9092440605163574,11.762470245361328,0.009999999776482582,0.0003,1875,,,
0.0,-1.76816171,2916,53,54,7.4,468,3.358954429626465,12.433516502380371,0.009999999776482582,0.0003,1915,,,
0.0,-2.25355827,2944,53,54,7.52,472,3.5587339401245117,10.457508087158203,0.009999999776482582,0.0003,1943,,,
0.0,-2.0090218300000005,2972,54,54,7.4,476,3.2622179985046387,8.713239669799805,0.009999999776482582,0.0003,1971,,,
0.0,-1.9564196899999997,3000,56,53,7.4,480,3.9975006580352783,9.764897346496582,0.009999999776482582,0.0003,1999,-1.9336735591764107,0.0,6.5
0.0,-1.6986017399999997,3016,56,53,7.16,484,2.614285707473755,9.105703353881836,0.009999999776482582,0.0003,2015,,,
0.0,-1.4678423199999997,3032,57,53,7.04,488,2.4791500568389893,10.509111404418945,0.009999999776482582,0.0003,2031,,,
0.0,-1.6380256399999995,3060,57,53,7.15,492,3.0044538974761963,10.439517974853516,0.009999999776482582,0.0003,2059,,,
0.0,-1.6901856000000002,3088,58,53,7.14,496,3.3308534622192383,8.580224990844727,0.009999999776482582,0.0003,2087,,,
0.0,-1.7575736500000003,3128,58,53,7.25,500,3.4587562084198,11.101714134216309,0.009999999776482582,0.0003,2127,,,
0.0,-1.3164845400000003,3156,59,53,7.01,504,4.007442951202393,10.236007690429688,0.009999999776482582,0.0003,2155,,,
0.0,-1.5024900200000002,3196,60,53,7.12,508,3.3712477684020996,9.499480247497559,0.009999999776482582,0.0003,2195,,,
0.0,-1.4092476100000004,3224,60,53,7.12,512,4.050322532653809,10.902694702148438,0.009999999776482582,0.0003,2223,,,
0.0,-1.6573143499999998,3264,61,53,7.23,516,3.91117000579834,11.096755981445312,0.009999999776482582,0.0003,2263,,,
0.0,-1.3934737199999998,3281,61,53,7.12,520,2.902894973754883,11.866460800170898,0.009999999776482582,0.0003,2280,,,
0.0,-1.7579467300000002,3333,62,53,7.36,524,2.0606400966644287,11.865153312683105,0.009999999776482582,0.0003,2332,,,
0.0,-2.0478220300000007,3349,62,53,7.35,528,4.1012864112854,9.016958236694336,0.009999999776482582,0.0003,2348,,,
0.0,-1.2541759199999998,3365,63,53,7.04,532,3.721557140350342,10.032448768615723,0.009999999776482582,0.0003,2364,,,
0.0,-1.3152521900000003,3405,64,53,7.16,536,2.6240901947021484,10.181500434875488,0.009999999776482582,0.0003,2404,,,
0.0,-1.4234645799999999,3433,64,53,7.04,540,4.4980669021606445,8.297372817993164,0.009999999776482582,0.0003,2432,,,
0.0,-1.6703359,3449,65,53,6.92,544,3.3937296867370605,10.459884643554688,0.009999999776482582,0.0003,2448,,,
0.0,-1.9305526300000002,3477,65,53,7.01,548,4.969961166381836,9.94354248046875,0.009999999776482582,0.0003,2476,,,
0.0,-2.3152123700000007,3520,66,53,7.04,552,3.186561346054077,11.3607177734375,0.009999999776482582,0.0003,2519,,,
0.0,-1.85243503,3536,66,52,6.92,556,3.7323341369628906,10.005205154418945,0.009999999776482582,0.0003,2535,,,
0.0,-2.5507460500000003,3564,67,52,7.04,560,4.459798336029053,9.26434326171875,0.009999999776482582,0.0003,2563,,,
0.0,-3.0224994400000003,3593,67,53,7.17,564,4.00721549987793,10.619983673095703,0.009999999776482582,0.0003,2592,,,
0.0,-2.867042340000001,3621,68,53,7.05,568,3.682577610015869,12.697198867797852,0.009999999776482582,0.0003,2620,,,
